days_since_signup,sessions_7d,content_hours_7d,downloads_7d,paywall_views_7d,country_tier,converted
18,2,3.95,1,3,Tier_2,1
4,0,1.78,2,2,Tier_1,1
25,1,2.67,0,0,Tier_1,1
14,2,1.77,2,2,Tier_2,1
50,3,2.75,1,1,Tier_2,1
58,3,1.12,0,1,Tier_1,1
9,2,0.65,0,1,Tier_2,0
26,3,4.63,1,2,Tier_1,1
53,2,0.66,0,2,Tier_1,1
2,4,2.22,1,4,Tier_1,1
20,2,0.5,1,1,Tier_2,1
28,7,2.42,0,2,Tier_2,1
47,3,0.81,3,3,Tier_3,1
7,5,2.78,4,1,Tier_1,1
44,1,0.38,1,1,Tier_3,1
8,0,4.72,2,1,Tier_2,0
47,2,5.28,0,0,Tier_1,1
35,5,1.58,2,0,Tier_2,1
14,1,12.79,2,2,Tier_1,1
17,1,4.28,0,1,Tier_1,1
36,4,1.27,0,0,Tier_3,1
50,3,1.52,0,1,Tier_1,1
40,4,0.65,0,0,Tier_1,1
4,2,6.15,1,1,Tier_2,1
2,4,3.28,1,2,Tier_2,1
6,2,5.12,1,1,Tier_2,1
54,6,0.39,1,5,Tier_1,1
42,3,1.05,1,2,Tier_1,1
4,3,1.88,1,0,Tier_3,1
54,5,2.46,1,1,Tier_2,1
29,4,4.12,0,0,Tier_1,1
18,1,1.02,0,1,Tier_1,1
26,4,4.4,1,0,Tier_1,1
44,3,3.82,0,3,Tier_2,1
34,5,2.62,1,0,Tier_3,1
10,4,1.86,1,2,Tier_2,1
36,4,1.88,2,3,Tier_2,1
14,6,0.46,0,2,Tier_2,1
31,4,10.56,2,0,Tier_2,1
48,1,1.01,1,0,Tier_2,1
15,1,1.36,4,2,Tier_2,1
8,1,0.74,2,1,Tier_2,1
14,2,1.17,0,0,Tier_2,1
23,3,3.06,0,0,Tier_1,1
57,3,1.0,2,0,Tier_2,1
40,3,4.91,0,0,Tier_2,1
21,3,1.65,0,2,Tier_1,1
16,4,0.89,0,0,Tier_1,1
45,3,0.38,3,1,Tier_2,1
18,6,0.61,1,0,Tier_3,1
47,2,1.02,4,0,Tier_1,1
53,3,4.49,1,1,Tier_3,1
24,3,2.03,0,1,Tier_2,1
26,2,4.83,0,0,Tier_1,1
25,0,1.72,0,1,Tier_1,1
45,2,4.49,1,1,Tier_1,1
41,8,2.05,1,0,Tier_3,1
29,4,3.36,2,2,Tier_3,1
15,3,1.31,2,1,Tier_2,1
45,4,4.95,1,3,Tier_1,1
1,3,4.27,0,1,Tier_3,1
25,5,1.55,2,0,Tier_1,1
7,2,2.83,2,1,Tier_3,1
9,3,1.26,1,1,Tier_2,1
24,5,1.3,0,0,Tier_2,1
1,3,0.52,2,4,Tier_2,1
44,3,3.09,3,1,Tier_1,1
8,2,0.53,4,2,Tier_1,1
24,2,1.95,0,0,Tier_3,1
11,2,1.05,0,1,Tier_2,1
51,7,7.64,2,1,Tier_1,1
17,3,0.94,1,1,Tier_2,1
8,1,3.99,0,3,Tier_3,1
35,7,3.55,0,1,Tier_1,0
35,8,2.78,3,3,Tier_2,1
33,6,2.95,1,2,Tier_1,1
59,3,0.8,1,2,Tier_3,1
5,4,8.07,0,1,Tier_1,1
42,1,4.91,2,4,Tier_2,1
39,2,2.13,0,1,Tier_2,1
58,2,2.78,0,2,Tier_2,0
41,4,7.38,0,1,Tier_1,1
28,5,5.57,2,1,Tier_2,1
7,0,3.95,0,1,Tier_2,1
9,1,1.4,0,2,Tier_3,1
8,4,3.4,0,2,Tier_2,1
12,0,0.74,2,0,Tier_1,1
34,5,1.31,0,1,Tier_1,1
33,2,4.1,0,1,Tier_3,1
48,0,7.8,0,1,Tier_3,1
55,4,1.9,0,5,Tier_1,1
23,2,2.89,2,3,Tier_3,1
24,3,0.61,0,3,Tier_1,1
37,2,0.8,0,1,Tier_3,1
35,4,1.13,0,4,Tier_1,1
44,4,3.11,1,2,Tier_2,1
40,2,5.43,1,0,Tier_2,1
22,7,2.22,1,0,Tier_3,1
27,4,1.32,1,1,Tier_3,1
35,4,1.78,1,0,Tier_1,1
1,5,9.34,3,1,Tier_3,1
35,7,1.42,2,3,Tier_2,1
37,2,5.2,0,1,Tier_2,1
47,7,2.69,0,0,Tier_3,1
14,4,1.13,2,0,Tier_1,1
3,9,1.87,1,1,Tier_2,1
1,3,3.22,3,1,Tier_3,1
5,4,4.68,1,2,Tier_1,1
26,1,1.75,1,2,Tier_3,1
55,0,0.35,3,1,Tier_3,1
14,0,0.78,1,1,Tier_1,1
39,3,3.82,1,0,Tier_3,1
27,1,1.75,3,1,Tier_1,1
9,4,2.77,1,4,Tier_2,1
15,3,1.74,1,3,Tier_2,1
15,4,2.04,1,2,Tier_1,1
26,4,1.0,3,2,Tier_3,1
42,7,1.7,0,1,Tier_2,1
13,3,0.5,1,5,Tier_2,1
51,2,3.03,1,0,Tier_3,1
32,4,7.57,3,1,Tier_1,1
39,0,2.08,0,1,Tier_2,1
49,3,5.09,3,1,Tier_3,1
52,1,6.24,2,0,Tier_1,1
32,2,2.31,1,0,Tier_3,0
4,8,6.46,0,0,Tier_2,0
30,2,1.04,0,0,Tier_1,1
37,1,1.2,1,1,Tier_1,1
23,3,7.43,0,0,Tier_2,1
39,6,2.3,0,2,Tier_1,1
45,2,1.29,3,3,Tier_3,1
15,5,0.68,0,2,Tier_1,1
43,1,3.33,1,0,Tier_2,1
29,4,2.89,1,0,Tier_1,1
36,3,4.81,1,1,Tier_2,1
13,1,5.08,4,0,Tier_3,1
32,2,1.85,0,1,Tier_3,1
7,3,2.86,1,3,Tier_2,1
59,0,5.31,2,1,Tier_1,1
51,1,7.32,1,2,Tier_3,1
22,2,0.62,4,3,Tier_1,0
28,3,1.51,2,0,Tier_3,1
2,4,1.55,1,0,Tier_3,1
42,2,5.58,5,0,Tier_1,1
45,4,4.07,3,2,Tier_1,1
57,3,2.45,2,1,Tier_3,0
53,4,3.19,1,2,Tier_3,1
6,3,1.82,1,1,Tier_2,1
28,4,2.81,0,1,Tier_3,1
28,0,1.38,1,3,Tier_3,0
44,4,1.01,1,1,Tier_2,1
44,5,2.28,1,2,Tier_2,1
20,2,4.35,0,2,Tier_2,1
30,7,2.97,2,0,Tier_1,1
11,6,6.23,0,2,Tier_2,1
58,2,2.47,1,0,Tier_2,0
55,6,0.24,1,0,Tier_2,1
28,5,1.89,0,0,Tier_1,1
25,4,0.24,2,0,Tier_3,1
39,3,3.37,1,1,Tier_3,1
33,3,1.71,1,0,Tier_1,1
1,2,2.25,0,1,Tier_1,1
57,2,5.82,1,1,Tier_3,1
27,7,3.14,0,2,Tier_2,1
57,7,1.48,1,2,Tier_2,1
52,4,3.34,1,3,Tier_1,1
13,3,4.27,2,1,Tier_1,1
41,3,1.45,2,0,Tier_3,1
3,6,3.75,2,2,Tier_2,1
39,5,2.08,1,3,Tier_3,1
6,2,1.49,1,0,Tier_1,1
8,3,2.68,1,1,Tier_2,1
27,6,1.15,0,0,Tier_1,1
9,1,3.71,1,3,Tier_3,1
37,2,1.23,1,3,Tier_3,1
33,1,5.05,0,1,Tier_2,1
51,3,2.92,1,4,Tier_1,1
42,4,5.14,2,4,Tier_2,1
44,5,1.86,0,2,Tier_2,0
24,3,1.72,1,1,Tier_3,0
15,2,4.03,0,0,Tier_2,1
59,5,1.88,2,6,Tier_1,1
54,1,2.16,2,1,Tier_2,1
32,3,2.16,0,0,Tier_2,0
32,2,0.4,1,3,Tier_3,1
24,2,7.1,0,1,Tier_3,1
41,1,3.36,1,2,Tier_3,1
52,1,4.5,1,2,Tier_2,1
49,6,2.94,0,1,Tier_2,1
49,3,3.04,0,3,Tier_3,1
58,1,2.55,1,2,Tier_1,1
52,6,0.7,2,0,Tier_3,1
12,3,3.7,0,0,Tier_2,1
39,4,2.97,1,1,Tier_1,1
2,0,0.78,0,2,Tier_3,1
3,1,3.9,0,2,Tier_2,1
49,3,6.62,1,1,Tier_1,1
37,4,3.07,2,2,Tier_2,1
49,2,6.78,1,1,Tier_2,1
56,1,0.69,0,2,Tier_2,1
17,2,3.68,1,2,Tier_2,1
59,7,5.13,0,1,Tier_1,1
49,3,2.26,0,1,Tier_1,1
2,1,0.76,0,1,Tier_3,0
2,2,5.14,0,0,Tier_3,1
28,1,4.07,1,1,Tier_3,0
54,4,1.22,0,0,Tier_2,1
23,3,1.34,2,1,Tier_2,1
37,3,2.69,1,1,Tier_3,1
32,3,14.16,2,3,Tier_2,1
33,3,1.37,1,0,Tier_1,1
1,4,3.66,1,2,Tier_2,1
19,0,1.37,2,1,Tier_2,1
2,2,2.78,0,1,Tier_3,1
53,3,1.08,2,3,Tier_3,1
44,5,2.06,2,0,Tier_3,0
26,3,6.32,3,2,Tier_1,1
32,5,3.43,0,1,Tier_2,1
6,5,0.12,1,1,Tier_3,1
32,3,4.67,1,1,Tier_2,1
55,2,4.23,0,2,Tier_2,1
4,2,1.39,2,0,Tier_3,1
55,2,2.19,1,2,Tier_2,1
11,3,1.02,0,1,Tier_2,1
56,1,3.38,1,2,Tier_1,0
59,3,2.4,0,1,Tier_3,0
17,1,0.69,0,0,Tier_3,0
38,0,3.38,0,4,Tier_2,1
24,5,1.1,0,0,Tier_2,1
5,2,3.27,2,0,Tier_2,0
52,3,1.91,1,1,Tier_1,0
34,3,1.35,0,2,Tier_1,1
6,6,0.58,3,3,Tier_2,1
22,4,0.14,0,0,Tier_1,1
11,5,1.9,1,3,Tier_1,1
48,3,5.62,1,0,Tier_3,1
16,2,1.8,1,1,Tier_3,1
33,3,3.85,2,1,Tier_1,1
9,5,2.3,1,2,Tier_1,1
59,1,6.15,0,0,Tier_3,1
6,2,1.78,0,0,Tier_3,0
16,4,7.24,0,2,Tier_2,1
29,2,2.99,0,1,Tier_1,1
3,3,2.42,2,1,Tier_1,1
20,5,0.81,2,1,Tier_3,1
59,3,4.12,0,2,Tier_3,1
36,1,2.9,0,1,Tier_2,1
19,3,1.62,0,0,Tier_3,0
26,1,5.02,3,1,Tier_1,1
3,2,2.48,1,1,Tier_1,1
19,2,2.92,0,3,Tier_1,1
20,1,0.69,0,1,Tier_1,1
32,1,2.2,2,1,Tier_3,1
7,2,1.3,0,1,Tier_3,1
52,7,0.92,0,1,Tier_1,1
41,3,2.08,2,2,Tier_2,1
33,3,5.08,3,0,Tier_2,1
40,3,2.3,1,1,Tier_1,1
39,4,6.09,2,2,Tier_3,1
18,1,0.51,2,0,Tier_2,0
40,4,0.61,1,3,Tier_2,1
1,2,3.92,0,1,Tier_1,1
11,2,5.93,2,0,Tier_2,1
28,0,0.44,1,3,Tier_3,1
57,1,1.97,0,1,Tier_1,1
25,2,5.99,0,2,Tier_1,1
50,2,0.74,0,0,Tier_2,0
23,5,1.28,0,2,Tier_2,1
31,4,3.38,4,0,Tier_1,1
30,2,2.7,1,0,Tier_1,1
42,2,0.92,2,0,Tier_1,1
35,3,0.19,0,0,Tier_3,0
7,5,2.67,0,3,Tier_1,1
16,1,0.49,1,0,Tier_1,1
26,2,4.89,1,2,Tier_3,1
48,3,1.46,1,1,Tier_3,0
57,0,3.05,2,2,Tier_2,1
52,2,3.65,0,4,Tier_3,1
49,5,4.99,0,1,Tier_2,1
2,2,4.74,0,1,Tier_1,1
1,3,1.62,0,3,Tier_2,1
48,2,2.79,0,3,Tier_2,1
12,0,10.55,1,0,Tier_1,1
5,7,8.43,1,1,Tier_1,1
37,5,4.32,0,1,Tier_3,1
32,0,4.33,0,2,Tier_2,1
59,3,1.3,2,0,Tier_1,1
55,8,2.47,0,1,Tier_3,1
9,4,3.84,2,0,Tier_1,1
41,3,2.04,1,2,Tier_1,1
35,2,1.2,0,0,Tier_3,0
19,4,6.56,3,2,Tier_1,1
48,5,9.56,0,1,Tier_2,1
16,3,3.29,1,2,Tier_2,0
3,0,3.35,2,3,Tier_1,1
20,2,2.89,0,1,Tier_1,1
24,4,5.46,0,3,Tier_2,1
54,5,0.65,2,0,Tier_3,1
56,2,1.53,1,1,Tier_2,1
33,3,3.75,1,0,Tier_1,1
24,1,2.25,2,1,Tier_2,1
52,4,3.66,2,2,Tier_1,1
11,5,1.03,0,3,Tier_3,1
49,2,3.73,1,1,Tier_1,1
8,4,3.5,1,0,Tier_3,1
36,5,2.69,3,3,Tier_1,1
38,2,1.39,2,4,Tier_1,1
40,2,4.02,1,2,Tier_2,1
20,6,1.46,0,4,Tier_2,1
35,0,1.91,1,0,Tier_2,0
48,3,3.71,1,1,Tier_3,1
25,3,3.73,0,3,Tier_3,1
35,4,1.15,0,2,Tier_1,1
25,10,0.43,0,2,Tier_1,1
29,5,2.24,1,1,Tier_3,0
18,4,3.08,1,2,Tier_3,1
46,3,1.69,1,1,Tier_1,1
18,1,4.01,0,2,Tier_3,1
2,2,2.88,1,4,Tier_2,1
54,4,1.33,1,3,Tier_1,1
35,4,3.47,2,2,Tier_3,1
16,2,13.42,2,0,Tier_1,1
41,1,4.17,0,2,Tier_2,0
36,2,0.96,0,2,Tier_2,1
33,2,1.23,0,3,Tier_1,1
4,1,2.31,2,0,Tier_2,0
33,3,0.34,3,2,Tier_2,1
14,1,2.68,0,2,Tier_1,1
21,1,2.24,1,1,Tier_2,1
48,4,0.91,0,2,Tier_2,1
20,4,4.67,0,1,Tier_3,1
56,3,1.99,5,1,Tier_3,1
8,2,0.28,1,2,Tier_1,1
7,4,1.51,0,2,Tier_2,1
3,4,1.4,0,0,Tier_1,1
17,5,2.23,0,0,Tier_1,0
33,4,5.05,2,0,Tier_2,1
48,1,2.9,0,1,Tier_1,1
12,2,0.74,0,0,Tier_3,0
59,1,1.56,1,1,Tier_3,1
51,1,2.29,1,2,Tier_2,1
22,4,2.71,1,0,Tier_2,1
55,2,3.61,1,0,Tier_3,0
22,2,3.25,1,3,Tier_1,1
46,3,3.26,1,2,Tier_1,1
30,0,2.93,1,0,Tier_1,1
38,2,2.98,0,0,Tier_2,1
38,1,3.2,0,2,Tier_3,1
45,1,1.14,1,1,Tier_1,1
51,6,1.2,0,0,Tier_1,1
54,1,5.43,0,1,Tier_3,1
8,2,2.9,1,0,Tier_3,0
27,5,3.35,2,2,Tier_2,1
27,2,1.78,0,2,Tier_1,1
34,0,6.07,1,1,Tier_1,0
21,4,2.21,0,0,Tier_3,1
30,5,4.83,0,1,Tier_1,1
33,3,2.92,1,1,Tier_3,1
28,6,1.03,0,3,Tier_3,1
47,1,3.72,1,2,Tier_2,1
33,1,2.31,1,1,Tier_3,1
5,2,1.23,0,0,Tier_1,1
48,2,4.29,0,0,Tier_3,1
19,4,1.02,0,1,Tier_2,1
4,0,3.4,2,2,Tier_1,1
35,1,5.83,2,1,Tier_3,1
49,4,2.96,1,3,Tier_3,1
17,1,4.38,0,2,Tier_2,0
44,3,4.78,2,1,Tier_3,1
28,4,6.64,0,1,Tier_3,1
30,6,1.41,0,0,Tier_3,1
29,2,5.22,2,0,Tier_2,1
46,2,3.36,0,4,Tier_2,1
53,3,2.55,0,0,Tier_2,1
6,4,1.1,0,2,Tier_2,0
35,3,2.39,1,1,Tier_1,1
41,3,4.54,0,3,Tier_3,1
37,3,3.03,0,1,Tier_2,1
24,2,2.68,1,2,Tier_1,0
29,5,2.62,2,2,Tier_1,1
49,2,2.29,0,1,Tier_1,0
46,1,3.22,3,0,Tier_1,1
53,3,2.84,1,0,Tier_2,1
31,4,1.86,3,1,Tier_3,1
35,2,1.78,1,2,Tier_1,1
33,2,1.85,2,0,Tier_3,0
52,2,1.37,3,0,Tier_1,1
21,3,1.21,0,3,Tier_2,1
32,1,1.94,1,0,Tier_3,0
23,2,2.98,2,1,Tier_2,0
33,0,5.14,1,4,Tier_1,1
3,2,1.09,1,0,Tier_2,1
18,2,1.95,2,0,Tier_2,1
25,2,2.78,1,2,Tier_1,1
42,4,3.27,0,0,Tier_1,1
31,2,5.09,3,0,Tier_1,1
54,3,3.61,3,0,Tier_1,1
58,2,3.24,4,3,Tier_2,1
3,5,0.95,1,2,Tier_3,0
40,0,5.6,1,0,Tier_1,0
46,4,2.56,0,4,Tier_2,1
24,2,8.15,0,0,Tier_1,1
50,6,1.45,0,0,Tier_3,1
32,2,1.72,0,0,Tier_3,0
47,2,5.79,1,0,Tier_1,1
22,1,1.56,2,0,Tier_3,1
23,1,2.02,0,3,Tier_1,1
2,2,2.74,2,0,Tier_1,1
27,1,2.01,0,1,Tier_1,1
42,5,7.05,2,0,Tier_1,1
2,3,3.63,2,0,Tier_1,1
26,2,1.71,0,0,Tier_2,0
17,3,5.26,0,1,Tier_2,1
40,2,3.59,0,0,Tier_1,1
33,2,5.17,0,2,Tier_1,1
9,1,1.88,4,1,Tier_1,1
43,7,7.39,0,3,Tier_3,1
54,2,1.56,2,3,Tier_1,1
48,4,0.83,1,1,Tier_1,1
39,6,5.38,3,1,Tier_1,1
29,3,1.89,1,0,Tier_1,1
42,1,0.98,0,1,Tier_2,1
55,2,6.75,1,3,Tier_1,1
26,1,3.92,3,2,Tier_1,1
35,0,4.64,3,3,Tier_3,1
50,1,4.37,1,0,Tier_3,1
25,4,1.04,1,4,Tier_3,1
24,4,1.95,1,0,Tier_3,1
13,6,2.57,0,1,Tier_2,1
58,1,11.38,0,0,Tier_3,1
7,5,0.98,2,2,Tier_2,1
57,7,0.59,1,3,Tier_3,1
36,2,7.05,0,2,Tier_3,1
45,2,3.77,0,1,Tier_2,1
20,1,4.17,0,0,Tier_3,0
1,3,0.97,1,0,Tier_1,1
8,4,3.91,2,1,Tier_1,1
46,3,1.24,0,0,Tier_2,1
16,2,0.48,0,1,Tier_2,1
14,2,4.17,0,1,Tier_3,1
12,2,1.67,0,1,Tier_3,1
51,4,1.68,1,0,Tier_2,1
23,6,2.78,2,2,Tier_1,1
15,1,1.31,1,0,Tier_1,1
28,5,3.64,2,3,Tier_2,1
34,0,3.66,1,0,Tier_2,0
2,4,5.38,2,0,Tier_1,1
32,4,3.25,0,1,Tier_1,1
23,5,1.79,2,3,Tier_2,1
22,1,2.88,1,1,Tier_3,1
51,5,0.76,0,2,Tier_1,1
25,2,1.75,1,2,Tier_2,1
58,2,4.57,0,1,Tier_2,1
22,6,0.91,1,3,Tier_2,1
58,1,2.22,0,1,Tier_3,0
58,3,7.75,1,0,Tier_1,1
22,5,1.97,1,1,Tier_3,1
49,3,3.73,1,1,Tier_1,1
52,0,2.9,3,0,Tier_2,1
42,4,3.46,0,2,Tier_1,0
6,2,0.63,1,0,Tier_3,1
15,1,2.27,0,0,Tier_1,1
54,6,2.98,0,0,Tier_2,1
43,5,1.75,0,2,Tier_3,0
37,4,0.78,0,1,Tier_2,1
33,1,2.51,1,0,Tier_3,1
8,2,22.21,2,2,Tier_3,1
53,2,1.22,0,0,Tier_1,1
44,2,2.23,2,1,Tier_2,1
44,2,5.82,2,4,Tier_2,1
5,0,4.87,2,1,Tier_3,1
39,8,4.37,1,1,Tier_1,1
4,4,2.18,1,1,Tier_2,1
6,2,1.47,2,2,Tier_1,1
45,3,7.53,1,1,Tier_3,1
32,4,3.98,0,2,Tier_1,1
52,3,1.62,1,0,Tier_1,1
30,5,2.11,1,0,Tier_3,1
47,6,3.64,3,1,Tier_3,1
35,9,3.11,0,0,Tier_1,1
55,4,0.81,2,1,Tier_2,1
40,5,2.31,1,2,Tier_2,1
52,3,0.31,1,2,Tier_2,1
16,2,1.02,0,4,Tier_3,1
13,1,6.31,0,0,Tier_2,1
50,3,4.26,0,1,Tier_2,0
42,2,3.88,0,0,Tier_1,1
30,3,2.34,1,1,Tier_3,1
19,3,5.98,2,0,Tier_2,1
17,4,2.1,0,0,Tier_2,1
56,1,4.43,3,0,Tier_2,0
19,4,1.65,0,1,Tier_1,1
28,2,0.3,1,1,Tier_2,1
58,3,1.36,0,2,Tier_2,0
55,2,2.33,1,0,Tier_3,0
26,2,4.93,1,2,Tier_2,1
37,4,1.59,1,1,Tier_2,0
26,4,2.36,2,0,Tier_3,1
53,7,4.91,1,1,Tier_2,1
23,0,1.88,1,1,Tier_1,1
9,2,2.56,0,1,Tier_3,1
12,1,2.43,0,1,Tier_2,1
53,5,3.17,1,1,Tier_3,1
1,2,1.7,2,0,Tier_2,1
58,0,2.62,2,0,Tier_2,1
58,1,3.38,1,2,Tier_2,1
1,4,3.44,1,2,Tier_1,1
47,6,0.27,1,0,Tier_3,1
34,1,6.22,1,1,Tier_2,1
32,2,3.42,1,0,Tier_2,1
54,4,0.94,2,0,Tier_1,1
48,5,1.36,0,1,Tier_3,1
25,2,1.39,0,0,Tier_3,1
40,3,1.47,0,1,Tier_2,1
45,4,4.88,1,3,Tier_1,1
53,4,5.2,2,2,Tier_1,1
1,2,3.93,1,2,Tier_1,1
16,6,0.94,1,1,Tier_2,1
39,3,1.84,3,0,Tier_3,1
5,1,1.26,1,3,Tier_2,0
22,4,1.38,0,3,Tier_2,1
29,1,1.65,2,0,Tier_2,1
55,4,1.36,2,2,Tier_1,1
3,2,1.44,2,3,Tier_1,1
12,2,3.01,1,1,Tier_2,1
26,2,1.94,1,1,Tier_1,1
16,3,6.11,0,2,Tier_2,1
51,6,0.4,1,0,Tier_1,1
37,2,2.71,1,1,Tier_3,1
22,4,1.87,1,1,Tier_3,1
57,1,5.13,2,1,Tier_2,1
29,0,2.67,3,1,Tier_2,1
14,1,1.77,1,1,Tier_2,1
28,3,2.38,1,1,Tier_2,1
5,3,0.41,2,0,Tier_3,1
47,3,1.37,3,1,Tier_3,1
49,4,6.86,2,2,Tier_1,1
30,4,4.61,3,0,Tier_1,1
46,3,2.86,2,2,Tier_1,1
52,4,1.49,4,1,Tier_1,1
5,3,2.86,0,0,Tier_2,1
12,5,2.98,0,2,Tier_1,1
16,4,4.89,1,0,Tier_3,1
26,1,0.18,1,0,Tier_2,0
26,1,0.63,1,3,Tier_1,1
48,1,2.99,2,1,Tier_1,0
21,2,3.2,2,1,Tier_2,1
39,2,4.06,0,1,Tier_2,0
36,4,2.14,2,2,Tier_3,1
33,2,2.74,1,3,Tier_3,1
30,3,4.51,0,2,Tier_2,1
37,4,6.55,0,1,Tier_2,1
23,4,1.0,2,2,Tier_2,1
58,4,1.26,0,3,Tier_2,1
10,5,1.62,0,0,Tier_3,1
54,3,1.96,1,4,Tier_2,1
5,6,3.89,1,1,Tier_2,1
36,2,1.26,1,1,Tier_1,1
34,4,0.75,0,0,Tier_3,0
52,3,1.67,2,2,Tier_2,1
31,2,3.63,0,0,Tier_2,1
10,5,3.08,1,2,Tier_3,1
58,2,14.81,1,2,Tier_3,1
19,1,5.32,0,0,Tier_1,0
58,2,2.4,0,2,Tier_1,1
32,2,3.02,1,1,Tier_3,1
1,6,0.41,1,1,Tier_2,1
56,2,1.68,0,3,Tier_3,0
5,3,3.03,0,0,Tier_1,1
45,3,4.84,0,1,Tier_2,1
4,4,2.17,0,1,Tier_2,1
16,2,3.16,0,0,Tier_1,1
24,2,5.14,0,1,Tier_3,1
16,3,1.72,2,4,Tier_2,1
55,4,1.54,2,2,Tier_2,0
2,5,4.58,0,3,Tier_1,1
49,6,0.3,3,1,Tier_2,1
28,0,2.75,1,1,Tier_3,1
32,3,2.16,1,2,Tier_3,1
27,2,5.68,3,2,Tier_3,1
20,5,2.11,1,1,Tier_1,1
24,4,1.23,2,1,Tier_1,1
12,1,1.31,2,1,Tier_2,1
50,1,3.66,0,3,Tier_3,1
35,2,2.41,2,0,Tier_2,1
33,2,1.61,1,2,Tier_1,1
33,2,3.58,0,0,Tier_2,1
51,3,3.19,0,1,Tier_2,0
43,0,3.09,0,2,Tier_1,1
37,0,4.42,2,1,Tier_1,1
12,3,3.89,2,1,Tier_1,1
3,2,6.1,0,2,Tier_1,1
1,5,4.93,0,1,Tier_1,1
33,4,3.4,1,2,Tier_1,1
40,1,4.96,1,2,Tier_2,1
10,4,2.75,0,2,Tier_1,1
43,6,3.56,0,2,Tier_2,1
44,2,2.17,3,0,Tier_1,0
29,1,2.59,1,3,Tier_1,1
13,4,1.79,2,0,Tier_3,1
12,6,2.15,1,1,Tier_3,1
31,2,3.24,1,0,Tier_2,1
46,5,0.75,1,2,Tier_2,1
2,2,0.93,2,1,Tier_1,1
51,1,0.88,0,1,Tier_3,0
50,1,2.11,1,1,Tier_1,1
35,1,4.79,1,3,Tier_1,1
23,1,3.88,0,0,Tier_2,0
17,2,1.59,1,2,Tier_1,1
26,2,2.77,0,1,Tier_2,1
8,1,2.37,1,0,Tier_1,0
29,1,7.73,1,1,Tier_1,1
26,3,2.85,0,2,Tier_3,1
10,3,0.49,0,1,Tier_2,1
26,1,1.41,0,0,Tier_1,1
34,3,0.55,0,2,Tier_1,1
51,4,1.46,1,4,Tier_1,1
41,3,4.11,0,2,Tier_3,1
7,3,3.12,0,0,Tier_2,1
4,5,2.06,2,3,Tier_2,1
58,2,4.39,2,1,Tier_1,1
53,1,2.93,0,1,Tier_2,0
50,1,6.45,1,1,Tier_1,1
45,3,2.02,3,2,Tier_2,1
11,2,0.7,1,0,Tier_2,1
29,6,2.73,1,1,Tier_3,1
56,0,3.99,1,2,Tier_3,1
36,3,2.79,0,3,Tier_1,1
25,4,5.78,0,2,Tier_3,1
21,5,2.2,0,1,Tier_1,1
57,1,0.86,2,0,Tier_1,1
36,2,1.31,0,0,Tier_1,1
10,2,0.47,1,1,Tier_2,0
37,2,3.32,1,1,Tier_2,1
9,4,3.07,1,0,Tier_1,1
24,3,4.38,0,0,Tier_1,1
35,2,0.42,1,1,Tier_1,1
49,1,2.76,2,0,Tier_3,0
35,2,1.15,1,0,Tier_2,1
48,4,0.51,1,3,Tier_1,1
36,3,3.83,0,0,Tier_3,1
